S	Spring 2017	ASTR 094 A	Astronomy	ASTR	094	A	Research Project	1										CRN: 20566 ENR LIM: 10 CUR ENR: 0<br>See Dept Admin Asst to register.	http://www.swarthmore.edu/cc_astro.xml#ASTR_094	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 123 01	Astronomy	ASTR	123	01	Stellar Astrophysics	1	M 01:15pm-04:15pm	Science Center 161	M	01:15pm	SCI	161	SEM M 01:15pm SCI 161	Cohen, D		CRN: 26167 ENR LIM: 12 CUR ENR: 8 DIST: NS	http://www.swarthmore.edu/cc_astro.xml#ASTR_123	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	BIOL 002 01	Biology	BIOL	002	01	Organismal & Popul Biol (W)	1	MWF 10:30am-11:20am	Science Center 101|Science Center 101|Science Center 101	M|W|F	10:30am|10:30am|10:30am	SCI|SCI|SCI	101|101|101		Merz, R|Clemens, E		CRN: 20160 ENR LIM: 120 CUR ENR: 114 DIST: NS, NSEP, W<br>Students must register for one lab section A-E below.<br>Eligible for ENVS program.	http://www.swarthmore.edu/cc_biology.xml#BIOL_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 002 A	Biology	BIOL	002	A	Organismal & Populat Biol-Lab	0	M 01:15pm-04:15pm	Science Center 204	M	01:15pm	SCI	204	LAB M 01:15pm SCI 204	Clemens, E		CRN: 22279 ENR LIM: 24 CUR ENR: 23	http://www.swarthmore.edu/cc_biology.xml#BIOL_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 002 B	Biology	BIOL	002	B	Organismal & Populat Biol-Lab	0	T 01:15pm-04:15pm	Science Center 204	T	01:15pm	SCI	204	LAB T 01:15pm SCI 204	Clemens, E		CRN: 22280 ENR LIM: 24 CUR ENR: 23	http://www.swarthmore.edu/cc_biology.xml#BIOL_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 002 C	Biology	BIOL	002	C	Organismal & Populat Biol-Lab	0	W 01:15pm-04:15pm	Science Center 204	W	01:15pm	SCI	204	LAB W 01:15pm SCI 204	Clemens, E		CRN: 22281 ENR LIM: 24 CUR ENR: 21	http://www.swarthmore.edu/cc_biology.xml#BIOL_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 002 D	Biology	BIOL	002	D	Organismal & Populat Biol-Lab	0	TH 01:15pm-04:15pm	Science Center 204	TH	01:15pm	SCI	204	LAB TH 01:15pm SCI 204	Clemens, E		CRN: 22282 ENR LIM: 24 CUR ENR: 23	http://www.swarthmore.edu/cc_biology.xml#BIOL_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 002 E	Biology	BIOL	002	E	Organismal & Populat Biol-Lab	0	T 08:00am-11:00am	Science Center 204	T	08:00am	SCI	204	LAB T 08:00am SCI 204	Clemens, E		CRN: 22283 ENR LIM: 24 CUR ENR: 23	http://www.swarthmore.edu/cc_biology.xml#BIOL_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 002SP 01	Biology	BIOL	002SP	01	Biology- Scholars Program	.5	TTH 01:15pm-02:30pm	Science Center L26|Science Center L26	T|TH	01:15pm|01:15pm	SCI|SCI	L26|L26	WKS T 01:15pm SCI L26|WKS TH 01:15pm SCI L26	Formica, V		CRN: 25244 ENR LIM: 12 CUR ENR: 16	http://www.swarthmore.edu/cc_biology.xml#BIOL_002SP	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 009 01	Biology	BIOL	009	01	Our Food	1	W 01:00pm-04:00pm	Martin 115	W	01:00pm	MARTIN	115		Pfluger, J		CRN: 25870 ENR LIM: 12 CUR ENR: 10 DIST: NS<br>Cross-listed with ENVS 009. Eligible for ENVS program.	http://www.swarthmore.edu/cc_biology.xml#BIOL_009	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
S	Spring 2017	BIOL 009 02	Biology	BIOL	009	02	Our Food	1	TH 01:00pm-04:00pm	Martin 115	TH	01:00pm	MARTIN	115		Pfluger, J		CRN: 25902 ENR LIM: 12 CUR ENR: 7 DIST: NS<br>Cross-listed with ENVS 009. Eligible for ENVS program.<br>If Collection is held, see Professor.	http://www.swarthmore.edu/cc_biology.xml#BIOL_009	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/biology.xml	Department Homepage
